market,match_id,kickoff_utc,season,actual,model_probability,baseline_probability,model_brier,baseline_brier,model_log_loss,baseline_log_loss
btts,0418592e50816c57,2022-08-06 12:30:00+00:00,2223,1,0.4273233756008222,0.0,0.32795851613323707,1.0,0.850214232467285,34.538776394910684
btts,40a2d61155560aff,2022-08-06 15:00:00+00:00,2223,1,0.3284842661896145,0.5,0.4509333807549004,0.25,1.113266338126544,0.6931471805599453
btts,6a19ca4ceef99f6f,2022-08-06 15:00:00+00:00,2223,0,0.5783520853794659,0.6666666666666666,0.334491134662777,0.4444444444444444,0.8635846387331522,1.0986122886681096
btts,bfcba317ce1b951b,2022-08-06 15:00:00+00:00,2223,0,0.4828543431407766,0.5,0.23314831668991082,0.25,0.6594307094161104,0.6931471805599453
btts,c89b4e952f9649a5,2022-08-06 15:00:00+00:00,2223,1,0.4446168214039837,0.4,0.30845047506741463,0.36,0.8105424432510209,0.916290731874155
btts,acc3ad5e7b131aa7,2022-08-06 17:30:00+00:00,2223,0,0.6348237039119051,0.5,0.40300113504843016,0.25,1.007375039026957,0.6931471805599453
btts,334321c6222f70cc,2022-08-07 14:00:00+00:00,2223,1,0.4564875632132256,0.42857142857142855,0.29540576894189746,0.32653061224489793,0.7841938231008708,0.8472978603872037
btts,6065a38144ba19d6,2022-08-07 14:00:00+00:00,2223,1,0.4741121108607805,0.5,0.2765580719433041,0.25,0.7463114644503617,0.6931471805599453
btts,f10e2858e9094f23,2022-08-07 16:30:00+00:00,2223,0,0.4387136075912043,0.5555555555555556,0.19246962948568921,0.308641975308642,0.5775240003194838,0.8109302162163288
btts,60d209a09ed74aab,2022-08-13 12:30:00+00:00,2223,1,0.3869741447871789,0.5,0.3758006991594108,0.25,0.9493973975196534,0.6931471805599453
btts,2b9ba559ab19a84e,2022-08-13 15:00:00+00:00,2223,0,0.4350603447883115,0.5454545454545454,0.18927750360732448,0.29752066115702475,0.5710363584748138,0.78845736036427
btts,43f6726623cc3f88,2022-08-13 15:00:00+00:00,2223,1,0.5488377423580827,0.5,0.20354738272055178,0.25,0.5999524324168105,0.6931471805599453
btts,895eeb30794f4954,2022-08-13 15:00:00+00:00,2223,0,0.5098702507809442,0.5384615384615384,0.2599676726314229,0.28994082840236685,0.7130851286046906,0.7731898882334817
btts,8efc7747ec930b92,2022-08-13 15:00:00+00:00,2223,0,0.4962879532788127,0.5,0.24630173256967297,0.25,0.6857505100559598,0.6931471805599453
btts,d765b86dad193566,2022-08-13 15:00:00+00:00,2223,1,0.5655565790245631,0.4666666666666667,0.18874108602884065,0.28444444444444444,0.5699449371052745,0.7621400520468967
btts,13b4b309b38c6ae5,2022-08-13 17:30:00+00:00,2223,0,0.4820822494831472,0.5,0.2324032952667314,0.25,0.6579388321159735,0.6931471805599453
btts,58274714f09633e8,2022-08-14 14:00:00+00:00,2223,0,0.4935154349445117,0.47058823529411764,0.2435574845284706,0.22145328719723184,0.6802614294882591,0.6359887667199967
btts,c3897016bf0b2659,2022-08-14 16:30:00+00:00,2223,1,0.5536135205697533,0.4444444444444444,0.19926088901813005,0.308641975308642,0.5912884519824171,0.8109302162163288
btts,2814f022f06ad94c,2022-08-15 20:00:00+00:00,2223,1,0.501789915604636,0.47368421052631576,0.24821328819323568,0.27700831024930755,0.6895737416952826,0.7472144018302211
btts,f031596e0bff32c4,2022-08-20 12:30:00+00:00,2223,0,0.403173162484655,0.5,0.16254859894787804,0.25,0.5161282620766099,0.6931471805599453
btts,99fc723cd927e861,2022-08-20 15:00:00+00:00,2223,1,0.411934859817726,0.47619047619047616,0.34582060909759765,0.2743764172335601,0.8868900493714069,0.7419373447293773
btts,d1c70110c4be7099,2022-08-20 15:00:00+00:00,2223,1,0.4665467291166562,0.5,0.2845723922161382,0.25,0.7623970941151156,0.6931471805599453
btts,e95e34dc0156a5cf,2022-08-20 15:00:00+00:00,2223,1,0.4000630976451597,0.5217391304347826,0.3599242868071212,0.2287334593572779,0.9161330002015502,0.6505875661411494
btts,fea1454f5cb0c175,2022-08-20 15:00:00+00:00,2223,1,0.3359751117819251,0.5416666666666666,0.4409290521730269,0.21006944444444448,1.0907181938400086,0.6131044728864089
btts,eda40560fd002695,2022-08-20 17:30:00+00:00,2223,0,0.5649707890720478,0.56,0.3191919925046923,0.31360000000000005,0.8323420985895071,0.8209805520698303
btts,29a03393c79eddad,2022-08-21 14:00:00+00:00,2223,0,0.5581303057501221,0.5384615384615384,0.31150943819672483,0.28994082840236685,0.8167402497586863,0.7731898882334817
btts,487561f2b44e88ed,2022-08-21 14:00:00+00:00,2223,0,0.4640003148219188,0.5185185185185185,0.21529629215483975,0.2688614540466392,0.6236217052658335,0.7308875085427923
btts,9835b98e3024196d,2022-08-21 16:30:00+00:00,2223,1,0.5579346970184965,0.5,0.19542173210012848,0.25,0.5835133538822235,0.6931471805599453
btts,820be1cbe16a9612,2022-08-22 20:00:00+00:00,2223,1,0.511616575921583,0.5172413793103449,0.23851836891455885,0.23305588585017833,0.6701798096428567,0.6592456288842639
btts,6384186621b31b04,2022-08-27 12:30:00+00:00,2223,0,0.516975568371317,0.5333333333333333,0.2672637382928462,0.28444444444444444,0.7276880435266858,0.7621400520468967
btts,57d1cff4f5395f20,2022-08-27 15:00:00+00:00,2223,0,0.499055466162814,0.5161290322580645,0.24905635830698358,0.26638917793964617,0.691259894929997,0.7259370033829361
btts,8d72f1364be45812,2022-08-27 15:00:00+00:00,2223,1,0.5277991904535693,0.5,0.22297360453630455,0.25,0.6390393887269558,0.6931471805599453
btts,9e76937ffa74608a,2022-08-27 15:00:00+00:00,2223,0,0.388935140411228,0.5151515151515151,0.15127054344670166,0.26538108356290174,0.4925521722712782,0.723918839226699
btts,a207ba0700e2776a,2022-08-27 15:00:00+00:00,2223,1,0.4980509330320642,0.5,0.25195286582998133,0.25,0.6970529320224447,0.6931471805599453
btts,c4df7aa88b88129a,2022-08-27 15:00:00+00:00,2223,1,0.5775376960210826,0.5142857142857142,0.17847439828317518,0.23591836734693883,0.5489815642210945,0.6649763035932491
btts,6665e8d8dbb1523e,2022-08-27 17:30:00+00:00,2223,1,0.4888650843313719,0.5277777777777778,0.26125890201557556,0.22299382716049382,0.7156687287378316,0.6390799592896695
btts,8f2eea11605df002,2022-08-28 14:00:00+00:00,2223,0,0.4346133408746305,0.5405405405405406,0.18888875606620775,0.2921840759678598,0.5702454294637596,0.7777045685880084
btts,b276a1918d8653b9,2022-08-28 14:00:00+00:00,2223,1,0.4187172866663013,0.5263157894736842,0.33788959282058684,0.22437673130193908,0.8705593202884032,0.6418538861723948
btts,fb90d04833307d0b,2022-08-28 16:30:00+00:00,2223,0,0.4547455677653929,0.5384615384615384,0.20679353140226953,0.28994082840236685,0.6065027451216864,0.7731898882334817
btts,ad3acba892e848f8,2022-08-30 19:30:00+00:00,2223,1,0.4950818160941901,0.525,0.25494237243874124,0.225625,0.7030322450327459,0.6443570163905132
btts,d247c8c5c94ff299,2022-08-30 19:30:00+00:00,2223,1,0.4590372318291289,0.5365853658536586,0.2926407165470916,0.2147531231409875,0.778623957115102,0.6225296133459919
btts,68be1e1790d952e3,2022-08-30 19:45:00+00:00,2223,1,0.551490488969459,0.5476190476190477,0.20116078148485503,0.20464852607709746,0.5951306861862307,0.6021754023542185
btts,64375450895fb0cc,2022-08-30 20:00:00+00:00,2223,1,0.5102241567347809,0.5581395348837209,0.2398803766461564,0.19524067063277448,0.672905126816336,0.5831462853456169
btts,6637c2960a7ef9a2,2022-08-31 19:30:00+00:00,2223,1,0.5462469285308594,0.5681818181818182,0.205891849867679,0.18646694214876028,0.6046841554149472,0.5653138090500603
btts,8dd473cfbb00c83f,2022-08-31 19:30:00+00:00,2223,0,0.7081229422553823,0.5777777777777777,0.5014381013484195,0.3338271604938271,1.2314226004952011,0.8622235106038791
btts,eb8a9e9563d6fd0c,2022-08-31 19:30:00+00:00,2223,0,0.3893550014607291,0.5652173913043478,0.15159731716248437,0.3194706994328922,0.49323950578706716,0.8329091229351039
btts,f9b016ddff45cce8,2022-08-31 19:45:00+00:00,2223,1,0.4469383572750407,0.5531914893617021,0.3058771806536305,0.19963784517881392,0.8053345970659155,0.5920510636885765
